[15:08:51] 模块导入完成
[06:13:13] 后台拉取: 久夜AV🔞
[06:13:13] 后台拉取成功: 久夜AV🔞
[06:13:13] 后台拉取: 九阴争茎🔞
[06:13:13] 后台拉取成功: 九阴争茎🔞
[06:13:13] 后台拉取: 乱伦48小时🔞
[06:13:14] 后台拉取成功: 乱伦48小时🔞
[06:13:14] 后台拉取: 乱伦仓库🔞
[06:13:17] 后台拉取成功: 乱伦仓库🔞
[06:13:17] 后台拉取: 乱伦伊甸园🔞
[06:13:18] 后台拉取成功: 乱伦伊甸园🔞
[06:13:18] 后台拉取: 五月天
[06:13:19] 后台拉取成功: 五月天
[06:13:19] 后台拉取: 亚色影库
[06:13:20] 后台拉取成功: 亚色影库
[06:13:20] 后台拉取: 京东淫联🔞
[06:13:20] 后台拉取成功: 京东淫联🔞
[06:13:20] 后台拉取: 今日看料
[06:13:22] 后台拉取成功: 今日看料
[06:13:22] 后台拉取: 优视频
[06:13:24] 后台拉取成功: 优视频
[06:13:24] 后台拉取: 优质粉嫩鲍🔞
[06:13:24] 后台拉取成功: 优质粉嫩鲍🔞
[06:13:24] 后台拉取: 儿子上穴🔞
[06:13:30] 后台拉取失败: 儿子上穴🔞 - 
[06:13:30] 后台拉取: 善良的小姨子🔞
[06:13:32] 后台拉取成功: 善良的小姨子🔞
[06:13:32] 后台拉取: 四色🔞
[06:13:34] 后台拉取成功: 四色🔞
[06:13:34] 后台拉取: 四虎视频
[06:13:34] 后台拉取成功: 四虎视频
[06:13:34] 后台拉取: 夜色🔞
[06:13:34] 后台拉取成功: 夜色🔞
[06:13:34] 后台拉取: 大屌视频
[06:13:36] 后台拉取成功: 大屌视频
[06:13:36] 后台拉取: 大师兄影视🔞
[06:13:36] 后台拉取成功: 大师兄影视🔞
[06:13:36] 后台拉取: 大米星球🔞
[06:13:36] 后台拉取成功: 大米星球🔞
[06:13:36] 后台拉取: 大鸡吧🔞
[06:13:41] 后台拉取成功: 大鸡吧🔞
[06:13:41] 后台拉取: 奶糖视频🔞
[06:13:41] 后台拉取成功: 奶糖视频🔞
[06:13:41] 后台拉取: 好莱污影院🔞
[06:13:42] 后台拉取成功: 好莱污影院🔞
[06:13:42] 后台拉取: 妈妈自拍
[06:13:43] 后台拉取成功: 妈妈自拍
[06:13:43] 后台拉取: 妲己
[06:13:48] 后台拉取失败: 妲己 - HTTPSConnectionPool(host='3642.7rnr.com', port=443): Max retries exceeded with url: /web/index.html (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of
[06:13:48] 后台拉取: 寂寞阿姨🔞
[06:13:48] 后台拉取成功: 寂寞阿姨🔞
[06:13:48] 后台拉取: 密云视频🔞
[06:13:50] 后台拉取成功: 密云视频🔞
[06:13:50] 后台拉取: 小心御欲🔞
[06:13:51] 后台拉取成功: 小心御欲🔞
[06:13:51] 后台拉取: 小红薯APP🔞
[06:13:53] 后台拉取成功: 小红薯APP🔞
[06:13:53] 后台拉取: 小鸭子看看
[06:13:53] 后台拉取成功: 小鸭子看看
[06:13:53] 后台拉取: 少妇喝多了🔞
[06:13:53] 后台拉取成功: 少妇喝多了🔞
[06:13:53] 后台拉取: 幸福加油站🔞
[06:13:54] 后台拉取成功: 幸福加油站🔞
[06:13:54] 后台拉取: 怦然心动
[06:13:54] 后台拉取成功: 怦然心动
[06:13:54] 后台拉取: 性运机场🔞
[06:13:54] 后台拉取成功: 性运机场🔞
[06:13:54] 后台拉取: 悟空传媒
[06:13:54] 后台拉取成功: 悟空传媒
[06:13:55] 后台拉取: 成人乐园🔞
[06:13:55] 后台拉取成功: 成人乐园🔞
[06:13:55] 后台拉取: 房中㊙️术🔞
[06:14:01] 后台拉取失败: 房中㊙️术🔞 - 
[06:14:01] 后台拉取: 手鸡助手🔞
[06:14:02] 后台拉取成功: 手鸡助手🔞
[06:14:02] 后台拉取: 拍摄现场🔞
[06:14:02] 后台拉取成功: 拍摄现场🔞
[06:14:02] 后台拉取: 换母俱乐部🔞
[06:14:03] 后台拉取成功: 换母俱乐部🔞
[06:14:03] 后台拉取: 推特APP🔞
[06:14:04] 后台拉取成功: 推特APP🔞
[06:14:04] 后台拉取: 撸一天
[06:14:05] 后台拉取成功: 撸一天
[06:14:05] 后台拉取: 撸王宝典🔞
[06:14:07] 后台拉取成功: 撸王宝典🔞
[06:14:07] 后台拉取: 教授
[06:14:08] 后台拉取成功: 教授
[06:14:08] 后台拉取: 有声骚麦🔞
[06:14:08] 后台拉取成功: 有声骚麦🔞
[06:14:08] 后台拉取: 权色视频🔞
[06:14:08] 后台拉取成功: 权色视频🔞
[06:14:08] 后台拉取: 极品少女🔞
[06:14:08] 后台拉取成功: 极品少女🔞
[06:14:08] 后台拉取: 樱花传媒
[06:14:08] 后台拉取成功: 樱花传媒
[06:14:08] 后台拉取: 樱花动漫🔞
[06:14:14] 后台拉取成功: 樱花动漫🔞
[06:14:14] 后台拉取: 母夜插插插🔞
[06:14:16] 后台拉取成功: 母夜插插插🔞
[06:14:16] 后台拉取: 每日大乱斗
[06:14:20] 后台拉取成功: 每日大乱斗
[06:14:20] 后台拉取: 每日大赛
[06:14:21] 后台拉取成功: 每日大赛
[06:14:21] 后台拉取: 海角乱伦🔞
[06:14:21] 后台拉取成功: 海角乱伦🔞
[06:14:21] 后台拉取: 淫母原味🔞
[06:14:21] 后台拉取成功: 淫母原味🔞
[06:14:21] 后台拉取: 淫水洞🔞
[06:14:21] 后台拉取成功: 淫水洞🔞
[06:14:21] 后台拉取: 清纯人妻🔞
[06:14:22] 后台拉取成功: 清纯人妻🔞
[06:14:22] 后台拉取: 清纯富婆🔞
[06:14:22] 后台拉取成功: 清纯富婆🔞
[06:14:22] 后台拉取: 溏心次元🔞
[06:14:23] 后台拉取成功: 溏心次元🔞
[06:14:23] 后台拉取: 熊猫视频
[06:14:24] 后台拉取成功: 熊猫视频
[06:14:24] 后台拉取: 熟女汇🔞
[06:14:25] 后台拉取成功: 熟女汇🔞
[06:14:25] 后台拉取: 爆片库
[06:14:26] 后台拉取成功: 爆片库
[06:14:26] 后台拉取: 爆色🔞
[06:14:27] 后台拉取成功: 爆色🔞
[06:14:27] 后台拉取: 狂飙短剧🔞
[06:14:28] 后台拉取成功: 狂飙短剧🔞
[06:14:28] 后台拉取: 猫咪AV
[06:14:30] 后台拉取成功: 猫咪AV
[06:14:30] 后台拉取: 猫咪TV
[06:14:31] 后台拉取成功: 猫咪TV
[06:14:31] 后台拉取: 玉蚌含珠🔞
[06:14:31] 后台拉取成功: 玉蚌含珠🔞
[06:14:31] 后台拉取: 男人本色🔞
[06:14:32] 后台拉取成功: 男人本色🔞
[06:14:32] 后台拉取: 百合TV🔞
[06:14:32] 后台拉取成功: 百合TV🔞
[06:14:32] 后台拉取: 真它妈多分类🔞
[06:14:32] 后台拉取成功: 真它妈多分类🔞
[06:14:32] 后台拉取: 真实人妻
[06:14:34] 后台拉取成功: 真实人妻
[06:14:34] 后台拉取: 真实未流出🔞
[06:14:34] 后台拉取成功: 真实未流出🔞
[06:14:34] 后台拉取: 神秘电影
[06:14:34] 后台拉取成功: 神秘电影
[06:14:34] 后台拉取: 禁片天堂
[06:14:35] 后台拉取成功: 禁片天堂
[06:14:35] 后台拉取: 福利天堂
[06:14:36] 后台拉取成功: 福利天堂
[06:14:36] 后台拉取: 糖心Vlog网页2🔞
[06:14:37] 后台拉取成功: 糖心Vlog网页2🔞
[06:14:37] 后台拉取: 糖心Vlog网页🔞
[06:14:37] 后台拉取成功: 糖心Vlog网页🔞
[06:14:37] 后台拉取: 肉视频🔞
[06:14:37] 后台拉取成功: 肉视频🔞
[06:14:37] 后台拉取: 色播聚合
[06:14:37] 后台拉取成功: 色播聚合
[06:14:37] 后台拉取: 艾旦影视🔞
[06:14:38] 后台拉取成功: 艾旦影视🔞
[06:14:38] 后台拉取: 花都影视🔞
[06:14:44] 后台拉取失败: 花都影视🔞 - 
[06:14:44] 后台拉取: 草榴社区🔞
[06:14:50] 后台拉取失败: 草榴社区🔞 - 
[06:14:50] 后台拉取: 草榴视频区
[06:14:56] 后台拉取失败: 草榴视频区 - 
[06:14:56] 后台拉取: 萝莉AV
[06:15:02] 后台拉取失败: 萝莉AV - 
[06:15:02] 后台拉取: 萝莉岛APP🔞
[06:15:08] 后台拉取成功: 萝莉岛APP🔞
[06:15:08] 后台拉取: 蜜桃AV🔞
[06:15:09] 后台拉取成功: 蜜桃AV🔞
[06:15:09] 后台拉取: 采集聚合成人
[06:15:13] 后台拉取成功: 采集聚合成人
[06:15:13] 后台拉取: 野马中文🔞
[06:15:14] 后台拉取成功: 野马中文🔞
[06:15:14] 后台拉取: 阴阳宝鉴🔞
[06:15:17] 后台拉取成功: 阴阳宝鉴🔞
[06:15:17] 后台拉取: 陌陌一夜情🔞
[06:15:17] 后台拉取成功: 陌陌一夜情🔞
[06:15:17] 后台拉取: 韩剧巴士🔞
[06:15:21] 后台拉取成功: 韩剧巴士🔞
[06:15:21] 后台拉取: 韩国色情电影
[06:15:21] 后台拉取成功: 韩国色情电影
[06:15:21] 后台拉取: 香肠派对
[06:15:23] 后台拉取成功: 香肠派对
[06:15:23] 后台拉取: 香蕉视频
[06:15:25] 后台拉取成功: 香蕉视频
[06:15:25] 后台拉取: 高端视频
[06:15:26] 后台拉取成功: 高端视频
[06:15:26] 后台拉取: 魑魅魍魉🔞
[06:15:26] 后台拉取成功: 魑魅魍魉🔞
[06:15:26] 后台拉取: 魔色365🔞
[06:15:27] 后台拉取成功: 魔色365🔞
[06:15:27] 后台拉取: 麻豆免费在线播放
[06:15:28] 后台拉取成功: 麻豆免费在线播放
[06:15:28] 后台拉取: 麻豆影院🔞
[06:15:28] 后台拉取成功: 麻豆影院🔞
[06:15:28] 后台拉取: 麻豆社
[06:15:28] 后台拉取成功: 麻豆社
[06:15:28] 后台拉取: 黄色仓库
[06:15:30] 后台拉取成功: 黄色仓库
[06:15:30] 后台拉取: 黄色仓库动态版
[06:15:33] 后台拉取成功: 黄色仓库动态版
[06:15:33] 后台拉取: 黄豆短剧
[06:15:36] 后台拉取成功: 黄豆短剧
[06:15:36] 后台拉取: 黑料不打烊
[06:15:38] 后台拉取成功: 黑料不打烊
[06:15:38] 后台拉取: 黑料网
[06:15:38] 后台拉取成功: 黑料网
[06:15:38] 后台拉取: package
[06:15:38] 后台拉取失败: package - 文件中未找到 Spider 类
[06:15:38] 后台拉取: _runner
[06:15:38] 后台拉取失败: _runner - 文件中未找到 Spider 类
[06:15:38] 后台拉取: basic
[06:15:38] 后台拉取失败: basic - 文件中未找到 Spider 类
[06:15:38] 后台拉取: dict
[06:15:38] 后台拉取失败: dict - 文件中未找到 Spider 类
[06:15:38] 后台拉取: klass
[06:15:38] 后台拉取失败: klass - 文件中未找到 Spider 类
[06:15:38] 后台拉取: long
[06:15:38] 后台拉取失败: long - 文件中未找到 Spider 类
[06:15:38] 后台拉取: protocol5
[06:15:38] 后台拉取失败: protocol5 - 文件中未找到 Spider 类
[06:15:38] 后台拉取: set
[06:15:38] 后台拉取失败: set - 文件中未找到 Spider 类
[06:15:38] 后台拉取: APP配置MAP提取器
[06:15:38] 后台拉取失败: APP配置MAP提取器 - 文件中未找到 Spider 类
[06:15:38] 后台拉取: XYQ规则链接提取器
[06:15:38] 后台拉取失败: XYQ规则链接提取器 - 文件中未找到 Spider 类
[06:15:38] 后台拉取: compare_source
[06:15:38] 后台拉取失败: compare_source - 文件中未找到 Spider 类
[06:15:38] 后台拉取: move_error_sources
[06:15:38] 后台拉取失败: move_error_sources - 文件中未找到 Spider 类
[06:15:38] 后台拉取: move_error_sources_test
[06:15:38] 后台拉取失败: move_error_sources_test - 文件中未找到 Spider 类
[06:15:38] 后台拉取: 采集分类生成器
[06:15:38] 后台拉取失败: 采集分类生成器 - 文件中未找到 Spider 类
[06:15:38] 后台拉取: 采集转换器
[06:15:38] 后台拉取失败: 采集转换器 - 文件中未找到 Spider 类
[06:15:38] 后台拉取: crawler
[06:15:38] 后台拉取失败: crawler - 文件中未找到 Spider 类
[06:15:38] 后台拉取: 4K影视
[06:15:44] 后台拉取失败: 4K影视 - 
[06:15:44] 后台拉取: AppFei
[06:15:44] 后台拉取失败: AppFei - Invalid URL '/api.php?type=getsort': No scheme supplied. Perhaps you meant https:///api.php?type=getsort?
[06:15:44] 后台拉取: AppFox
[06:15:44] 后台拉取失败: AppFox - Expecting value: line 1 column 1 (char 0)
[06:15:44] 后台拉取: AppGet
[06:15:44] 后台拉取失败: AppGet - 'key'
[06:15:44] 后台拉取: AppHs
[06:15:44] 后台拉取失败: AppHs - Invalid URL '/api/block/category_type': No scheme supplied. Perhaps you meant https:///api/block/category_type?
[06:15:44] 后台拉取: AppMuou
[06:15:44] 后台拉取失败: AppMuou - 'host'
[06:15:44] 后台拉取: AppSk
[06:15:44] 后台拉取失败: AppSk - 
[06:15:44] 后台拉取: AppToV5
[06:15:44] 后台拉取失败: AppToV5 - 
[06:15:44] 后台拉取: AppV1
[06:15:44] 后台拉取失败: AppV1 - Invalid URL '/v1.vod/types': No scheme supplied. Perhaps you meant https:///v1.vod/types?
[06:15:44] 后台拉取: AppV2²
[06:15:44] 后台拉取失败: AppV2² - Invalid URL '//api.php/app/nav?token=': No scheme supplied. Perhaps you meant https:////api.php/app/nav?token=?
[06:15:44] 后台拉取: AppV2¹
[06:15:44] 后台拉取失败: AppV2¹ - Expecting value: line 1 column 1 (char 0)
[06:15:44] 后台拉取: AppV6
[06:15:44] 后台拉取失败: AppV6 - Expecting value: line 1 column 1 (char 0)
[06:15:44] 后台拉取: AppYqk
[06:15:44] 后台拉取失败: AppYqk - Expecting value: line 1 column 1 (char 0)
[06:15:44] 后台拉取: _bridge
[06:15:44] 后台拉取失败: _bridge - 文件中未找到 Spider 类
[06:15:44] 后台拉取: base_java_loader
[06:15:44] 后台拉取失败: base_java_loader - No module named 't4'
[06:15:44] 后台拉取: base_test
[06:15:44] 后台拉取失败: base_test - No module named 'core'
[06:15:44] 后台拉取: getapp3.4.2
[06:15:44] 后台拉取失败: getapp3.4.2 - Expecting value: line 1 column 1 (char 0)
[06:15:44] 后台拉取: getapp3.4.4
[06:15:44] 后台拉取失败: getapp3.4.4 - Expecting value: line 1 column 1 (char 0)
[06:15:44] 后台拉取: 懒懒视频
[06:15:44] 后台拉取失败: 懒懒视频 - HTTPConnectionPool(host='llsp2.xn--it-if7c19g5s4bps5c.com', port=80): Max retries exceeded with url: /api.php/provide/index?tid=0 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection obje
[06:15:44] 后台拉取: htmlParser
[06:15:44] 后台拉取失败: htmlParser - 文件中未找到 Spider 类
[06:15:44] 后台拉取: spider
[06:15:44] 后台拉取失败: spider - Can't instantiate abstract class BaseSpider with abstract methods categoryContent, detailContent, homeContent, homeVideoContent, init, isVideoFormat, localProxy, manualVideoCheck, playerContent, searc
[06:15:44] 后台拉取: bridge
[06:15:44] 后台拉取失败: bridge - 文件中未找到 Spider 类
[06:15:44] 后台拉取: t4_daemon
[06:15:44] 后台拉取失败: t4_daemon - 文件中未找到 Spider 类
[06:15:44] 后台拉取: t4_daemon_lite
[06:15:44] 后台拉取失败: t4_daemon_lite - 文件中未找到 Spider 类
[06:19:00] 模块导入完成
[06:19:00] init 开始
[06:19:10] init 完成，扫描到 248 个py源
[06:57:04] 模块导入完成
[06:57:04] init 开始
[06:57:13] init 完成，扫描到 248 个py源
[06:57:13] homeContent 开始
[06:57:13] homeContent 返回 249 个标签
[06:57:13] 后台拉取: 9g88x🔞
[06:57:19] 后台拉取失败: 9g88x🔞 - 
[06:57:19] 后台拉取: 儿子上穴🔞
[06:57:25] 后台拉取失败: 儿子上穴🔞 - 
[06:57:25] 后台拉取: 妲己
[06:57:28] 后台拉取失败: 妲己 - HTTPSConnectionPool(host='3642.7rnr.com', port=443): Max retries exceeded with url: /web/index.html (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of
[06:57:28] 后台拉取: 房中㊙️术🔞
[06:57:34] 后台拉取失败: 房中㊙️术🔞 - 
[06:57:34] 后台拉取: 花都影视🔞
[06:57:36] 后台拉取成功: 花都影视🔞
[06:57:36] 后台拉取: 草榴社区🔞
[06:57:38] 后台拉取成功: 草榴社区🔞
[06:57:38] 后台拉取: 草榴视频区
[06:57:40] 后台拉取成功: 草榴视频区
[06:57:40] 后台拉取: 萝莉AV
[06:57:40] 后台拉取成功: 萝莉AV
[06:57:40] 后台拉取: package
[06:57:40] 后台拉取失败: package - 文件中未找到 Spider 类
[06:57:40] 后台拉取: _runner
[06:57:40] 后台拉取失败: _runner - 文件中未找到 Spider 类
[06:57:40] 后台拉取: basic
[06:57:40] 后台拉取失败: basic - 文件中未找到 Spider 类
[06:57:40] 后台拉取: dict
[06:57:40] 后台拉取失败: dict - 文件中未找到 Spider 类
[06:57:40] 后台拉取: klass
[06:57:40] 后台拉取失败: klass - 文件中未找到 Spider 类
[06:57:40] 后台拉取: long
[06:57:40] 后台拉取失败: long - 文件中未找到 Spider 类
[06:57:40] 后台拉取: protocol5
[06:57:40] 后台拉取失败: protocol5 - 文件中未找到 Spider 类
[06:57:40] 后台拉取: set
[06:57:40] 后台拉取失败: set - 文件中未找到 Spider 类
[06:57:40] 后台拉取: APP配置MAP提取器
[06:57:40] 后台拉取失败: APP配置MAP提取器 - 文件中未找到 Spider 类
[06:57:40] 后台拉取: XYQ规则链接提取器
[06:57:40] 后台拉取失败: XYQ规则链接提取器 - 文件中未找到 Spider 类
[06:57:40] 后台拉取: compare_source
[06:57:40] 后台拉取失败: compare_source - 文件中未找到 Spider 类
[06:57:40] 后台拉取: move_error_sources
[06:57:40] 后台拉取失败: move_error_sources - 文件中未找到 Spider 类
[06:57:40] 后台拉取: move_error_sources_test
[06:57:40] 后台拉取失败: move_error_sources_test - 文件中未找到 Spider 类
[06:57:40] 后台拉取: 采集分类生成器
[06:57:40] 后台拉取失败: 采集分类生成器 - 文件中未找到 Spider 类
[06:57:40] 后台拉取: 采集转换器
[06:57:40] 后台拉取失败: 采集转换器 - 文件中未找到 Spider 类
[06:57:40] 后台拉取: crawler
[06:57:40] 后台拉取失败: crawler - 文件中未找到 Spider 类
[06:57:40] 后台拉取: 4K影视
[06:57:46] 后台拉取失败: 4K影视 - 
[06:57:46] 后台拉取: AppFei
[06:57:46] 后台拉取失败: AppFei - Invalid URL '/api.php?type=getsort': No scheme supplied. Perhaps you meant https:///api.php?type=getsort?
[06:57:46] 后台拉取: AppFox
[06:57:46] 后台拉取失败: AppFox - Expecting value: line 1 column 1 (char 0)
[06:57:46] 后台拉取: AppGet
[06:57:46] 后台拉取失败: AppGet - 'key'
[06:57:46] 后台拉取: AppHs
[06:57:46] 后台拉取失败: AppHs - Invalid URL '/api/block/category_type': No scheme supplied. Perhaps you meant https:///api/block/category_type?
[06:57:46] 后台拉取: AppMuou
[06:57:46] 后台拉取失败: AppMuou - 'host'
[06:57:46] 后台拉取: AppSk
[06:57:46] 后台拉取失败: AppSk - 
[06:57:46] 后台拉取: AppToV5
[06:57:46] 后台拉取失败: AppToV5 - 
[06:57:46] 后台拉取: AppV1
[06:57:46] 后台拉取失败: AppV1 - Invalid URL '/v1.vod/types': No scheme supplied. Perhaps you meant https:///v1.vod/types?
[06:57:46] 后台拉取: AppV2²
[06:57:46] 后台拉取失败: AppV2² - Invalid URL '//api.php/app/nav?token=': No scheme supplied. Perhaps you meant https:////api.php/app/nav?token=?
[06:57:46] 后台拉取: AppV2¹
[06:57:46] 后台拉取失败: AppV2¹ - Expecting value: line 1 column 1 (char 0)
[06:57:46] 后台拉取: AppV6
[06:57:46] 后台拉取失败: AppV6 - Expecting value: line 1 column 1 (char 0)
[06:57:46] 后台拉取: AppYqk
[06:57:46] 后台拉取失败: AppYqk - Expecting value: line 1 column 1 (char 0)
[06:57:46] 后台拉取: _bridge
[06:57:46] 后台拉取失败: _bridge - 文件中未找到 Spider 类
[06:57:46] 后台拉取: base_java_loader
[06:57:46] 后台拉取失败: base_java_loader - No module named 't4'
[06:57:46] 后台拉取: base_test
[06:57:46] 后台拉取失败: base_test - No module named 'core'
[06:57:46] 后台拉取: getapp3.4.2
[06:57:46] 后台拉取失败: getapp3.4.2 - Expecting value: line 1 column 1 (char 0)
[06:57:46] 后台拉取: getapp3.4.4
[06:57:46] 后台拉取失败: getapp3.4.4 - Expecting value: line 1 column 1 (char 0)
[06:57:46] 后台拉取: 懒懒视频
[06:57:46] 后台拉取失败: 懒懒视频 - HTTPConnectionPool(host='llsp2.xn--it-if7c19g5s4bps5c.com', port=80): Max retries exceeded with url: /api.php/provide/index?tid=0 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection obje
[06:57:46] 后台拉取: htmlParser
[06:57:46] 后台拉取失败: htmlParser - 文件中未找到 Spider 类
[06:57:46] 后台拉取: spider
[06:57:46] 后台拉取失败: spider - Can't instantiate abstract class BaseSpider with abstract methods categoryContent, detailContent, homeContent, homeVideoContent, init, isVideoFormat, localProxy, manualVideoCheck, playerContent, searc
[06:57:46] 后台拉取: bridge
[06:57:46] 后台拉取失败: bridge - 文件中未找到 Spider 类
[06:57:46] 后台拉取: t4_daemon
[06:57:46] 后台拉取失败: t4_daemon - 文件中未找到 Spider 类
[06:57:46] 后台拉取: t4_daemon_lite
[06:57:46] 后台拉取失败: t4_daemon_lite - 文件中未找到 Spider 类
[06:59:19] 模块导入完成
[06:59:19] init 开始
[06:59:25] init 完成，扫描到 248 个py源
[06:59:25] homeContent 开始
[06:59:25] homeContent 返回 249 个标签
[06:59:25] 后台拉取: 9g88x🔞
[06:59:31] 后台拉取失败: 9g88x🔞 - 
[06:59:31] 后台拉取: 儿子上穴🔞
[06:59:36] 后台拉取成功: 儿子上穴🔞
[06:59:36] 后台拉取: 妲己
[06:59:40] 后台拉取失败: 妲己 - HTTPSConnectionPool(host='3642.7rnr.com', port=443): Max retries exceeded with url: /web/index.html (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of
[06:59:40] 后台拉取: 房中㊙️术🔞
[06:59:46] 后台拉取失败: 房中㊙️术🔞 - 
[06:59:46] 后台拉取: package
[06:59:46] 后台拉取失败: package - 文件中未找到 Spider 类
[06:59:46] 后台拉取: _runner
[06:59:46] 后台拉取失败: _runner - 文件中未找到 Spider 类
[06:59:46] 后台拉取: basic
[06:59:46] 后台拉取失败: basic - 文件中未找到 Spider 类
[06:59:46] 后台拉取: dict
[06:59:46] 后台拉取失败: dict - 文件中未找到 Spider 类
[06:59:46] 后台拉取: klass
[06:59:46] 后台拉取失败: klass - 文件中未找到 Spider 类
[06:59:46] 后台拉取: long
[06:59:46] 后台拉取失败: long - 文件中未找到 Spider 类
[06:59:46] 后台拉取: protocol5
[06:59:46] 后台拉取失败: protocol5 - 文件中未找到 Spider 类
[06:59:46] 后台拉取: set
[06:59:46] 后台拉取失败: set - 文件中未找到 Spider 类
[06:59:46] 后台拉取: APP配置MAP提取器
[06:59:46] 后台拉取失败: APP配置MAP提取器 - 文件中未找到 Spider 类
[06:59:46] 后台拉取: XYQ规则链接提取器
[06:59:46] 后台拉取失败: XYQ规则链接提取器 - 文件中未找到 Spider 类
[06:59:46] 后台拉取: compare_source
[06:59:46] 后台拉取失败: compare_source - 文件中未找到 Spider 类
[06:59:46] 后台拉取: move_error_sources
[06:59:46] 后台拉取失败: move_error_sources - 文件中未找到 Spider 类
[06:59:46] 后台拉取: move_error_sources_test
[06:59:46] 后台拉取失败: move_error_sources_test - 文件中未找到 Spider 类
[06:59:46] 后台拉取: 采集分类生成器
[06:59:46] 后台拉取失败: 采集分类生成器 - 文件中未找到 Spider 类
[06:59:46] 后台拉取: 采集转换器
[06:59:46] 后台拉取失败: 采集转换器 - 文件中未找到 Spider 类
[06:59:46] 后台拉取: crawler
[06:59:46] 后台拉取失败: crawler - 文件中未找到 Spider 类
[06:59:46] 后台拉取: 4K影视
[06:59:52] 后台拉取失败: 4K影视 - 
[06:59:52] 后台拉取: AppFei
[06:59:52] 后台拉取失败: AppFei - Invalid URL '/api.php?type=getsort': No scheme supplied. Perhaps you meant https:///api.php?type=getsort?
[06:59:52] 后台拉取: AppFox
[06:59:52] 后台拉取失败: AppFox - Expecting value: line 1 column 1 (char 0)
[06:59:52] 后台拉取: AppGet
[06:59:52] 后台拉取失败: AppGet - 'key'
[06:59:52] 后台拉取: AppHs
[06:59:52] 后台拉取失败: AppHs - Invalid URL '/api/block/category_type': No scheme supplied. Perhaps you meant https:///api/block/category_type?
[06:59:52] 后台拉取: AppMuou
[06:59:52] 后台拉取失败: AppMuou - 'host'
[06:59:52] 后台拉取: AppSk
[06:59:52] 后台拉取失败: AppSk - 
[06:59:52] 后台拉取: AppToV5
[06:59:52] 后台拉取失败: AppToV5 - 
[06:59:52] 后台拉取: AppV1
[06:59:52] 后台拉取失败: AppV1 - Invalid URL '/v1.vod/types': No scheme supplied. Perhaps you meant https:///v1.vod/types?
[06:59:52] 后台拉取: AppV2²
[06:59:52] 后台拉取失败: AppV2² - Invalid URL '//api.php/app/nav?token=': No scheme supplied. Perhaps you meant https:////api.php/app/nav?token=?
[06:59:52] 后台拉取: AppV2¹
[06:59:52] 后台拉取失败: AppV2¹ - Expecting value: line 1 column 1 (char 0)
[06:59:52] 后台拉取: AppV6
[06:59:52] 后台拉取失败: AppV6 - Expecting value: line 1 column 1 (char 0)
[06:59:52] 后台拉取: AppYqk
[06:59:52] 后台拉取失败: AppYqk - Expecting value: line 1 column 1 (char 0)
[06:59:52] 后台拉取: _bridge
[06:59:52] 后台拉取失败: _bridge - 文件中未找到 Spider 类
[06:59:52] 后台拉取: base_java_loader
[06:59:52] 后台拉取失败: base_java_loader - No module named 't4'
[06:59:52] 后台拉取: base_test
[06:59:52] 后台拉取失败: base_test - No module named 'core'
[06:59:52] 后台拉取: getapp3.4.2
[06:59:52] 后台拉取失败: getapp3.4.2 - Expecting value: line 1 column 1 (char 0)
[06:59:52] 后台拉取: getapp3.4.4
[06:59:52] 后台拉取失败: getapp3.4.4 - Expecting value: line 1 column 1 (char 0)
[06:59:52] 后台拉取: 懒懒视频
[06:59:52] 后台拉取失败: 懒懒视频 - HTTPConnectionPool(host='llsp2.xn--it-if7c19g5s4bps5c.com', port=80): Max retries exceeded with url: /api.php/provide/index?tid=0 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection obje
[06:59:52] 后台拉取: htmlParser
[06:59:52] 后台拉取失败: htmlParser - 文件中未找到 Spider 类
[06:59:52] 后台拉取: spider
[06:59:52] 后台拉取失败: spider - Can't instantiate abstract class BaseSpider with abstract methods categoryContent, detailContent, homeContent, homeVideoContent, init, isVideoFormat, localProxy, manualVideoCheck, playerContent, searc
[06:59:52] 后台拉取: bridge
[06:59:52] 后台拉取失败: bridge - 文件中未找到 Spider 类
[06:59:52] 后台拉取: t4_daemon
[06:59:52] 后台拉取失败: t4_daemon - 文件中未找到 Spider 类
[06:59:52] 后台拉取: t4_daemon_lite
[06:59:52] 后台拉取失败: t4_daemon_lite - 文件中未找到 Spider 类
[07:14:16] 模块导入完成
[07:14:16] init 开始
[07:14:22] init 完成，扫描到 248 个py源
[07:14:22] homeContent 开始
[07:14:22] homeContent 返回 249 个标签
[07:14:22] 后台拉取: 9g88x🔞
[07:14:28] 后台拉取失败: 9g88x🔞 - 
[07:14:28] 后台拉取: 妲己
[07:14:34] 后台拉取失败: 妲己 - HTTPSConnectionPool(host='3642.7rnr.com', port=443): Max retries exceeded with url: /web/index.html (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of
